,SymbolsA,EntrezsA,AveExpr,B
204547_at,RAB40B,10966,8.8100765698297,-1.43662998704924
206765_at,KCNJ2,3759,8.30102763635165,-1.44000406896907
202499_s_at,SLC2A3,6515,7.15470335492483,-1.44254016248416
204462_s_at,SLC16A2,6567,7.69374734703102,-1.45732604278359
212549_at,STAT5B,6777,8.62623963854086,-1.45740228495224
210053_at,TAF5,6877,8.09551932532815,-1.46392816284999
201760_s_at,WSB2,55884,10.4382911315492,-1.47197127573369
209873_s_at,PKP3,11187,8.415852265264,-1.48934829073295
202628_s_at,SERPINE1,5054,8.26471597138144,-1.49967898652578
205027_s_at,MAP3K8,1326,5.24415363550872,-1.5082997075959
